Date,ob,oe
1/1/2018,14112.2002,755.757019
1/2/2018,13625,772.346008
1/3/2018,14978.2002,886
1/4/2018,15270.7002,961.713013
1/5/2018,15477.2002,975.75
1/6/2018,17462.09961,995.153992
1/7/2018,17527.30078,1043.01001
1/8/2018,16476.19922,1158.26001
1/9/2018,15123.7002,1146
1/10/2018,14588.5,1300.339966
1/11/2018,14968.2002,1268.089966
1/12/2018,13453.90039,1158.290039
1/13/2018,13952.40039,1270.469971
1/14/2018,14370.79981,1397.47998
1/15/2018,13767.29981,1365.209961
1/16/2018,13836.09961,1292.630005
1/17/2018,11431.09961,1061.339966
1/18/2018,11198.79981,1016.440002
1/19/2018,11429.79981,1028.819946
1/20/2018,11656.2002,1044.949951
1/21/2018,12889.2002,1155.680054
1/22/2018,11633.09961,1055.349976
1/23/2018,10944.5,1004.169983
1/24/2018,10903.40039,987.47699
1/25/2018,11421.7002,1063.219971
1/26/2018,11256,1052.699951
1/27/2018,11174.90039,1055.75
1/28/2018,11475.29981,1111.780029
1/29/2018,11755.5,1246.699951
1/30/2018,11306.79981,1184.130005
1/31/2018,10108.2002,1071.089966
2/1/2018,10237.29981,1119.369995
2/2/2018,9142.280273,1035.77002
2/3/2018,8852.120117,919.210999
2/4/2018,9175.700195,964.666992
2/5/2018,8270.540039,834.958008
2/6/2018,7051.75,707.737
2/7/2018,7755.490234,790.427979
2/8/2018,7637.859863,755.843018
2/9/2018,8271.839844,818.47998
2/10/2018,8720.080078,882.46698
2/11/2018,8616.129883,859.288025
2/12/2018,8141.430176,817.507996
2/13/2018,8926.719727,869.29303
2/14/2018,8599.919922,844.278992
2/15/2018,9488.320313,923.728027
2/16/2018,10135.7002,934.786011
2/17/2018,10207.5,944.747986
2/18/2018,11123.40039,973.348999
2/19/2018,10552.59961,921.66803
2/20/2018,11231.79981,943.567017
2/21/2018,11372.2002,894.13501
2/22/2018,10660.40039,849.262024
2/23/2018,9937.070313,811.585022
2/24/2018,10287.7002,861.593018
2/25/2018,9796.419922,839.458984
2/26/2018,9669.429688,845.278015
2/27/2018,10393.90039,870.36499
2/28/2018,10687.2002,877.934021
3/1/2018,10385,856.012024
3/2/2018,10977.40039,871.763977
3/3/2018,11101.90039,856.710999
3/4/2018,11497.40039,856.185974
3/5/2018,11532.40039,866.846008
3/6/2018,11500.09961,853.817017
3/7/2018,10803.90039,816.270996
3/8/2018,9951.44043,752.570007
3/9/2018,9414.69043,702.197021
3/10/2018,9350.589844,730.159973
3/11/2018,8852.780273,685.312012
3/12/2018,9602.929688,724.406006
3/13/2018,9173.040039,698.153015
3/14/2018,9214.650391,691.218994
3/15/2018,8290.759766,614.838989
3/16/2018,8322.910156,611.778015
3/17/2018,8321.910156,601.677979
3/18/2018,7890.52002,551.640015
3/19/2018,8344.120117,546.625977
3/20/2018,8619.669922,556.721985
3/21/2018,8937.480469,559.099976
3/22/2018,8939.44043,562.103027
3/23/2018,8736.25,539.864014
3/24/2018,8901.950195,542.572021
3/25/2018,8612.80957,522.703003
3/26/2018,8498.469727,524.286987
3/27/2018,8200,489.589996
3/28/2018,7836.830078,450.290985
3/29/2018,7979.069824,448.075012
3/30/2018,7171.450195,385.904999
3/31/2018,6892.47998,395.003998
4/1/2018,7003.060059,397.253998
4/2/2018,6844.859863,379.699005
4/3/2018,7102.259766,387.312012
4/4/2018,7456.410156,416.484985
4/5/2018,6848.649902,379.946991
4/6/2018,6815.959961,382.730988
4/7/2018,6630.509766,370.380005
4/8/2018,6919.97998,385.743011
4/9/2018,7044.319824,400.856995
4/10/2018,6795.439941,399.411011
4/11/2018,6843.470215,415.023987
4/12/2018,6955.379883,430.161011
4/13/2018,7901.089844,493.160004
4/14/2018,7874.669922,492.579987
4/15/2018,7999.330078,502.880005
4/16/2018,8337.570313,532.073975
4/17/2018,8071.660156,511.144989
4/18/2018,7944.430176,503.30899
4/19/2018,8159.27002,524.038025
4/20/2018,8286.879883,567.989014
4/21/2018,8848.790039,616.004028
4/22/2018,8925.05957,606.119019
4/23/2018,8794.389648,621.198975
4/24/2018,8934.339844,643.39801
4/25/2018,9701.030273,707.062012
4/26/2018,8867.320313,618.078979
4/27/2018,9290.629883,662.109009
4/28/2018,8939.269531,644.645996
4/29/2018,9346.410156,683.911987
4/30/2018,9426.110352,689.760986
5/1/2018,9251.469727,670.463013
5/2/2018,9104.599609,674.075012
5/3/2018,9233.969727,686.591003
5/4/2018,9695.5,776.775024
5/5/2018,9700.280273,784.583008
5/6/2018,9845.30957,816.088013
5/7/2018,9645.669922,793.338989
5/8/2018,9380.870117,755.008972
5/9/2018,9223.730469,752.901978
5/10/2018,9325.959961,752.578979
5/11/2018,9052.959961,727.013
5/12/2018,8441.44043,679.877014
5/13/2018,8515.490234,687.174988
5/14/2018,8713.099609,732.732971
5/15/2018,8705.19043,731.143005
5/16/2018,8504.410156,708.086975
5/17/2018,8370.049805,708.718018
